min_carry_spread,momentum_weight,trend_filter_sma,atr_stop_multiplier,composite_threshold,tp_multiplier,max_risk_per_pair,total_return,sharpe,sortino,max_drawdown,num_trades,win_rate,profit_factor,avg_holding_days
0.02,0.6,50,2.5,0.03,4.0,0.015,-0.001801290077596641,-0.2074340970010502,-0.29170873102979394,0.0061644489693387676,46,0.2608695652173913,0.9573870539380532,126.23913043478261
0.015,0.6,50,2.5,0.1,1.5,0.02,-0.002311602553900011,-0.21124500067991023,-0.21226892113679016,0.005848680076845612,55,0.4,0.9870062902937865,47.6
0.01,0.6,20,3.0,0.08,4.0,0.02,-0.003009673408991075,-0.21248946969545274,-0.27062281311825076,0.010395799493424644,28,0.25,0.8301268512282663,171.71428571428572
0.02,0.6,50,3.0,0.03,3.0,0.025,-0.003501802871448308,-0.21691351209896204,-0.28797174709321416,0.013606950024362956,50,0.3,0.9529564580924713,116.3
0.02,0.6,50,2.5,0.03,3.0,0.025,-0.0036643254484198407,-0.22064704377906014,-0.2831405578768492,0.012322585119617384,63,0.2698412698412698,0.9755064859511832,91.61904761904762
0.02,0.6,50,2.5,0.03,3.0,0.02,-0.002929718847997865,-0.22088742457966476,-0.2834425639983302,0.009869867472121282,63,0.2698412698412698,0.9756914461033598,91.61904761904762
0.01,0.6,20,3.0,0.08,3.0,0.01,-0.001504487877272768,-0.22119666430440943,-0.2863021090321073,0.0051995003519510535,35,0.2857142857142857,0.8782700640497478,134.22857142857143
0.005,0.5,20,2.5,0.05,4.0,0.015,-0.0027089020283507124,-0.22582110338540937,-0.28432805986162546,0.008083648614245924,36,0.25,0.8350618577682222,152.63888888888889
0.01,0.5,20,3.0,0.08,1.5,0.02,-0.003004338606810779,-0.2259853788911766,-0.2916228767515074,0.009497093965481894,58,0.41379310344827586,0.9571616817007687,67.44827586206897
0.02,0.5,20,2.5,0.08,3.0,0.015,-0.0019317844209815666,-0.2295228664312919,-0.2610124619138675,0.005981273024478781,40,0.25,0.9294945041181815,74.925
0.01,0.6,50,3.0,0.08,3.0,0.015,-0.0023729169450240443,-0.23038183971291856,-0.287154402711783,0.007808051126130498,33,0.2727272727272727,0.8510555550168348,138.0
0.01,0.7,20,2.5,0.1,2.0,0.02,-0.002852006193775014,-0.23430349709533146,-0.27560658849185304,0.00905900372941641,45,0.37777777777777777,0.913759600353354,73.28888888888889
0.005,0.4,20,2.5,0.05,4.0,0.02,-0.003866907635457028,-0.23457542919786917,-0.29720067561415703,0.009747396935539396,33,0.24242424242424243,0.7997970916470521,168.5151515151515
0.02,0.6,20,3.0,0.08,2.5,0.015,-0.002013129678442201,-0.23731239931967127,-0.28286531922919955,0.005911777422702134,37,0.2972972972972973,0.908840115397199,91.1891891891892
