min_carry_spread,momentum_weight,trend_filter_sma,atr_stop_multiplier,composite_threshold,total_return,sharpe,sortino,max_drawdown,num_trades,win_rate,profit_factor,avg_holding_days
0.01,0.3,100,2.5,0.03,-0.004916923084451701,-0.4135314029079498,-0.49430905095344196,0.009924934070634911,59,0.2542372881355932,0.7879958900865905,93.40677966101696
0.015,0.2,100,2.5,0.08,-0.003422035703672882,-0.4135570875065019,-0.49975251205053806,0.006089145909697532,32,0.1875,0.7211457088976877,77.6875
0.02,0.5,50,2.5,0.08,-0.0034093593049027548,-0.4136599030712384,-0.4660631907968459,0.006774757746322397,37,0.21621621621621623,0.767062278029245,73.94594594594595
0.01,0.5,50,2.0,0.1,-0.0035639492746487667,-0.4172592671976861,-0.4847638598058519,0.006744160916536686,51,0.2549019607843137,0.8067611927730397,51.470588235294116
0.005,0.5,20,2.5,0.1,-0.003841137128317787,-0.4177773904024585,-0.5161341478675441,0.007032008579696955,46,0.2391304347826087,0.793895963577547,67.28260869565217
0.005,0.2,20,2.5,0.1,-0.00456521098205325,-0.4217932550888244,-0.5436790486821804,0.008038300888994867,38,0.21052631578947367,0.6809952255768955,98.13157894736842
0.005,0.2,50,2.5,0.05,-0.0051712201894859025,-0.42517615003147863,-0.5354051934141895,0.009224562618559843,50,0.26,0.7231175889904514,101.62
0.005,0.2,50,2.5,0.08,-0.005103361154453887,-0.433555647672942,-0.5542003786381036,0.009422313798387656,42,0.21428571428571427,0.6692523837253394,106.64285714285714
0.005,0.3,100,2.5,0.1,-0.0045936009879435,-0.4369127797065664,-0.5475404414044075,0.0079709015722178,42,0.19047619047619047,0.7068371232652185,78.16666666666667
0.005,0.4,20,2.5,0.03,-0.005195402111214935,-0.43709642251163905,-0.5226050224618353,0.009541382908328011,63,0.2698412698412698,0.7902058306875464,91.15873015873017
0.005,0.3,20,2.5,0.08,-0.005285956582060608,-0.4393468103198257,-0.5595756467529506,0.009048918674480816,44,0.22727272727272727,0.6856716547782841,110.5
0.01,0.2,100,2.5,0.08,-0.004756536966249696,-0.44626758104187103,-0.5545747041666919,0.00841382707223352,41,0.1951219512195122,0.6849674017808512,94.1219512195122
0.005,0.3,50,2.5,0.05,-0.005598044157013937,-0.44778775781091645,-0.5720919920606562,0.009269903274214696,49,0.22448979591836735,0.6975817307992795,104.40816326530613
0.01,0.3,20,2.5,0.1,-0.004774688454870629,-0.452898823220366,-0.5830647741163185,0.00821186260544678,40,0.2,0.672004067469548,88.225
0.01,0.4,100,2.5,0.03,-0.0052314788047416365,-0.45399552014099764,-0.526692374672355,0.010937530783859596,63,0.2698412698412698,0.7880543230122022,90.04761904761905
0.005,0.5,100,2.0,0.1,-0.004000765700629709,-0.45677885017619974,-0.5341674833393794,0.0070104661541131475,47,0.2553191489361702,0.7427431177785405,57.659574468085104
0.015,0.3,100,2.5,0.1,-0.003731207091495744,-0.45960743436643237,-0.5522349937757004,0.0063105126971318365,34,0.17647058823529413,0.7042561064567069,71.6470588235294
0.015,0.5,50,2.5,0.03,-0.005297465576903923,-0.45985990379248903,-0.5720270676465076,0.008502742360356792,63,0.2857142857142857,0.787392901344571,91.74603174603175
0.005,0.4,100,2.5,0.05,-0.005552173911809222,-0.4632420273662559,-0.5652732966231514,0.009357075597039416,51,0.21568627450980393,0.7085001242042283,97.17647058823529
0.02,0.4,50,2.0,0.1,-0.00323103262631339,-0.4632992071918314,-0.5187518513863455,0.006502371446702462,40,0.275,0.791662197342826,51.9
0.01,0.5,50,2.5,0.1,-0.004210503329232743,-0.46740336312908337,-0.573772420588427,0.007259157818593508,40,0.25,0.7053058821066158,74.625
0.01,0.5,50,2.5,0.08,-0.0050251796126631965,-0.4713566322831232,-0.5859850133925943,0.0092434514552838,46,0.21739130434782608,0.6915933818493586,88.78260869565217
0.005,0.3,20,2.5,0.05,-0.0060398879990268325,-0.4743717609072417,-0.601225516569713,0.009467470580869199,52,0.23076923076923078,0.6903318171715147,106.01923076923077
0.015,0.5,100,2.0,0.08,-0.0039786451714581925,-0.47460279711154996,-0.5156573600710748,0.008062085939467735,59,0.2542372881355932,0.8189415422827134,52.50847457627118
0.01,0.4,50,2.5,0.05,-0.005561989384722256,-0.47467368769102675,-0.5784592663486102,0.009340897944061722,51,0.23529411764705882,0.7071781950781307,97.31372549019608
0.005,0.2,50,2.5,0.1,-0.0050070638512993175,-0.47484132801194523,-0.6156223171838202,0.008408517754736824,39,0.20512820512820512,0.6492903048438188,91.38461538461539
0.01,0.2,50,2.5,0.1,-0.0050070638512993175,-0.47484132801194523,-0.6156223171838202,0.008408517754736824,39,0.20512820512820512,0.6492903048438188,91.38461538461539
0.005,0.3,100,2.5,0.05,-0.0059357589292751796,-0.478344257246562,-0.6015819809688678,0.008879580228872622,50,0.22,0.6823133698967289,99.12
0.015,0.4,20,2.5,0.1,-0.003940589484480297,-0.4791712416740199,-0.5343860579010441,0.008127983382432999,43,0.23255813953488372,0.7765771137400961,70.83720930232558
0.005,0.4,50,2.5,0.05,-0.005859413309286028,-0.4799267189835092,-0.5998693923561899,0.009325289197334592,52,0.23076923076923078,0.6967595427994978,100.82692307692308
0.01,0.5,20,2.0,0.1,-0.004420979264128109,-0.48043603045275235,-0.5299243811181091,0.007784919217441626,56,0.25,0.7678860771947899,49.69642857142857
0.015,0.3,20,2.5,0.05,-0.004889312079258961,-0.481709018288584,-0.5582340234541621,0.007691106757325166,47,0.2553191489361702,0.7333269271730662,88.93617021276596
0.005,0.2,100,2.5,0.08,-0.005556535010252847,-0.48428712126415546,-0.5870931862473548,0.009794062853347135,43,0.18604651162790697,0.6431460248973915,95.23255813953489
0.005,0.2,100,2.5,0.03,-0.006320202809935436,-0.4857256455424578,-0.6032904960848788,0.010089128994040061,61,0.2459016393442623,0.7262431878829582,87.0
0.015,0.5,20,2.5,0.03,-0.0056789246502179595,-0.4928089460628333,-0.6188472527732226,0.008952640309875616,64,0.28125,0.770374387970319,91.640625
0.01,0.2,50,2.5,0.03,-0.006319092386686679,-0.495138707635165,-0.6015232956607198,0.010323074750418345,58,0.2413793103448276,0.7076914206842465,88.87931034482759
0.01,0.3,20,2.5,0.05,-0.006007647148193064,-0.49894249080064706,-0.6140063581415658,0.009415192315024619,49,0.22448979591836735,0.6688049530054886,103.73469387755102
0.01,0.3,50,2.5,0.05,-0.005954913402815146,-0.5002466298931423,-0.6160498557781778,0.009295099260677049,47,0.2127659574468085,0.6569400887445122,101.14893617021276
0.01,0.3,20,2.5,0.08,-0.005593082521653123,-0.505115299908441,-0.6253196245696108,0.008686167142659696,42,0.21428571428571427,0.6476559252629175,106.57142857142857
0.01,0.3,50,2.5,0.1,-0.005313111322171608,-0.5100975493925979,-0.6549727987992933,0.008649942194138826,41,0.1951219512195122,0.633591280576716,83.6829268292683
0.015,0.5,50,2.5,0.08,-0.004689840393330233,-0.5106841480270744,-0.5795663890409439,0.008121542291874204,42,0.21428571428571427,0.6896468467583644,79.07142857142857
0.02,0.4,100,2.5,0.05,-0.004595897797963698,-0.5115637443547076,-0.5965507393370548,0.007753898004719759,47,0.23404255319148937,0.7613900570266322,80.04255319148936
0.005,0.2,100,2.5,0.1,-0.005243005067959311,-0.5127632880533571,-0.6421802500487063,0.008706119653283953,39,0.1794871794871795,0.6319882263469151,82.23076923076923
0.015,0.2,20,2.0,0.08,-0.0044881869613970045,-0.5169628593030954,-0.5975979824030313,0.007733382874613307,61,0.26229508196721313,0.7990238417018304,42.59016393442623
0.015,0.3,50,2.0,0.1,-0.004306550188988331,-0.5240514243710734,-0.6077255466839973,0.007648919724271776,61,0.26229508196721313,0.8068196309503038,38.540983606557376
0.005,0.2,50,2.0,0.05,-0.006124901930974593,-0.5254251241967455,-0.6373936152943602,0.009336066152621805,89,0.2696629213483146,0.8171478938338549,52.02247191011236
0.015,0.2,100,2.0,0.08,-0.004441329133323598,-0.5267025922317222,-0.6134881347136502,0.007646373208713657,60,0.25,0.7982707585770215,39.13333333333333
0.015,0.2,100,2.0,0.1,-0.004441329133323598,-0.5267025922317222,-0.6134881347136502,0.007646373208713657,60,0.25,0.7982707585770215,39.13333333333333
0.02,0.4,20,2.5,0.08,-0.0044445164615490645,-0.5274465508185195,-0.5496704802616375,0.007629233432246933,46,0.2391304347826087,0.7674991049457631,60.56521739130435
